,Postcode,Borough,Neighbourhood
0,,Canadian postal codes,
1,M1B,Scarborough,Malvern / Rouge
2,M1C,Scarborough,Rouge Hill / Port Union / Highland Creek
3,M1E,Scarborough,Guildwood / Morningside / West Hill
4,M1G,Scarborough,Woburn
5,M1H,Scarborough,Cedarbrae
6,M1J,Scarborough,Scarborough Village
7,M1K,Scarborough,Kennedy Park / Ionview / East Birchmount Park
8,M1L,Scarborough,Golden Mile / Clairlea / Oakridge
9,M1M,Scarborough,Cliffside / Cliffcrest / Scarborough Village West
10,M1N,Scarborough,Birch Cliff / Cliffside West
11,M1P,Scarborough,Dorset Park / Wexford Heights / Scarborough Town Centre
12,M1R,Scarborough,Wexford / Maryvale
13,M1S,Scarborough,Agincourt
14,M1T,Scarborough,Clarks Corners / Tam O'Shanter / Sullivan
15,M1V,Scarborough,Milliken / Agincourt North / Steeles East / L'Amoreaux East
16,M1W,Scarborough,Steeles West / L'Amoreaux West
17,M1X,Scarborough,Upper Rouge
18,M2H,North York,Hillcrest Village
19,M2J,North York,Fairview / Henry Farm / Oriole
20,M2K,North York,Bayview Village
21,M2L,North York,York Mills / Silver Hills
22,M2M,North York,Willowdale / Newtonbrook
23,M2N,North York,Willowdale
24,M2P,North York,York Mills West
25,M2R,North York,Willowdale
26,M3A,North York,Parkwoods
27,M3B,North York,Don Mills
28,M3C,North York,Don Mills
29,M3H,North York,Bathurst Manor / Wilson Heights / Downsview North
30,M3J,North York,Northwood Park / York University
31,M3K,North York,Downsview
32,M3L,North York,Downsview
33,M3M,North York,Downsview
34,M3N,North York,Downsview
35,M4A,North York,Victoria Village
36,M4B,East York,Parkview Hill / Woodbine Gardens
37,M4C,East York,Woodbine Heights
38,M4E,East Toronto,The Beaches
39,M4G,East York,Leaside
40,M4H,East York,Thorncliffe Park
41,M4J,East York,East Toronto
42,M4K,East Toronto,The Danforth West / Riverdale
43,M4L,East Toronto,India Bazaar / The Beaches West
44,M4M,East Toronto,Studio District
45,M4N,Central Toronto,Lawrence Park
46,M4P,Central Toronto,Davisville North
47,M4R,Central Toronto,North Toronto West
48,M4S,Central Toronto,Davisville
49,M4T,Central Toronto,Moore Park / Summerhill East
50,M4V,Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park
51,M4W,Downtown Toronto,Rosedale
52,M4X,Downtown Toronto,St. James Town / Cabbagetown
53,M4Y,Downtown Toronto,Church and Wellesley
54,M5A,Downtown Toronto,Regent Park / Harbourfront
55,M5B,Downtown Toronto,"Garden District, Ryerson"
56,M5C,Downtown Toronto,St. James Town
57,M5E,Downtown Toronto,Berczy Park
58,M5G,Downtown Toronto,Central Bay Street
59,M5H,Downtown Toronto,Richmond / Adelaide / King
60,M5J,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands
61,M5K,Downtown Toronto,Toronto Dominion Centre / Design Exchange
62,M5L,Downtown Toronto,Commerce Court / Victoria Hotel
63,M5M,North York,Bedford Park / Lawrence Manor East
64,M5N,Central Toronto,Roselawn
65,M5P,Central Toronto,Forest Hill North & West
66,M5R,Central Toronto,The Annex / North Midtown / Yorkville
67,M5S,Downtown Toronto,University of Toronto / Harbord
68,M5T,Downtown Toronto,Kensington Market / Chinatown / Grange Park
69,M5V,Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport
70,M5W,Downtown Toronto,Stn A PO Boxes
71,M5X,Downtown Toronto,First Canadian Place / Underground city
72,M6A,North York,Lawrence Manor / Lawrence Heights
73,M6B,North York,Glencairn
74,M6C,York,Humewood-Cedarvale
75,M6E,York,Caledonia-Fairbanks
76,M6G,Downtown Toronto,Christie
77,M6H,West Toronto,Dufferin / Dovercourt Village
78,M6J,West Toronto,Little Portugal / Trinity
79,M6K,West Toronto,Brockton / Parkdale Village / Exhibition Place
80,M6L,North York,North Park / Maple Leaf Park / Upwood Park
81,M6M,York,Del Ray / Mount Dennis / Keelsdale and Silverthorn
82,M6N,York,Runnymede / The Junction North
83,M6P,West Toronto,High Park / The Junction South
84,M6R,West Toronto,Parkdale / Roncesvalles
85,M6S,West Toronto,Runnymede / Swansea
86,M7A,Downtown Toronto,Queen's Park / Ontario Provincial Government
87,M7R,Mississauga,Canada Post Gateway Processing Centre
88,M7Y,East Toronto,Business reply mail Processing CentrE
89,M8V,Etobicoke,New Toronto / Mimico South / Humber Bay Shores
90,M8W,Etobicoke,Alderwood / Long Branch
91,M8X,Etobicoke,The Kingsway / Montgomery Road  / Old Mill North
92,M8Y,Etobicoke,Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East
93,M8Z,Etobicoke,Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West
94,M9A,Etobicoke,Islington Avenue
95,M9B,Etobicoke,West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale
96,M9C,Etobicoke,Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood
97,M9L,North York,Humber Summit
98,M9M,North York,Humberlea / Emery
99,M9N,York,Weston
100,M9P,Etobicoke,Westmount
101,M9R,Etobicoke,Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens
102,M9V,Etobicoke,South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens
103,M9W,Etobicoke,Northwest
